Project,Grantee,"Category 
(as determined by ZCG)","Reporting Frequency 
(as determined by ZCG)",Milestone,Amount (USD),Estimate,Paid Out,ZEC Disbursed,USD Disbursed,ZEC/USD,Grant Status
Zcash Brazil 2026,Zcash Brazil,Community,,Event Reimbursement,$0.00,  31 Dec 2026,,,,,Open
Zcash Brazil 2026,Zcash Brazil,Community,,Event Reimbursement,"$12,003.00",  31 Dec 2026,,,,,Open
Zcash Brazil 2026,Zcash Brazil,Community,,Startup Funding,"$2,989.00",, 29 Dec 2025,5.46,,$547.44,Open
Zcash Brazil 2026,Zcash Brazil,Community,,1,"$21,833.00",, 30 Jan 2026,65.17,,$335.02,Open
Zcash Brazil 2026,Zcash Brazil,Community,,2,"$21,833.00",, 2 Mar 2026,98.06,,$222.65,Open
Zcash Brazil 2026,Zcash Brazil,Community,,3,"$21,833.00",, 31 Mar 2026,88.05,,$247.96,Open
Zcash Brazil 2026,Zcash Brazil,Community,,4,"$21,833.00",, 30 Apr 2026,64.94,,$336.20,Open
Zcash Brazil 2026,Zcash Brazil,Community,,5,"$21,833.00",, 29 May 2026,41.09,,$531.35,Open
Zcash Brazil 2026,Zcash Brazil,Community,,6,"$21,833.00",, 30 Jun 2026,55.30,,$394.81,Open
Zcash Brazil 2026,Zcash Brazil,Community,,7,"$21,833.00",, 3 Aug 2026,44.74,,$488.00,Open
Zcash Brazil 2026,Zcash Brazil,Community,,8,"$21,833.00",, 1 Sep 2026,26.39,,$827.32,Open
Zcash Brazil 2026,Zcash Brazil,Community,,9,"$21,833.00",  30 Sep 2026,,,,,Open
Zcash Brazil 2026,Zcash Brazil,Community,,10,"$21,833.00",  31 Oct 2026,,,,,Open
Zcash Brazil 2026,Zcash Brazil,Community,,11,"$21,833.00",  30 Nov 2026,,,,,Open
Zcash Brazil 2026,Zcash Brazil,Community,,12,"$21,833.00",  31 Dec 2026,,,,,Open
Zcash Global en Español 2026,Zcash Español,Community,Monthly,1,"$8,925.00",, 5 Feb 2026,39.05,,$228.55,Open
Zcash Global en Español 2026,Zcash Español,Community,,2,"$8,625.00",, 6 Mar 2026,38.99,,$221.21,Open
Zcash Global en Español 2026,Zcash Español,Community,,3,"$8,925.00",, 7 Apr 2026,33.49,,$266.50,Open
Zcash Global en Español 2026,Zcash Español,Community,,4,"$9,525.00",, 7 May 2026,16.91,,$563.28,Open
Zcash Global en Español 2026,Zcash Español,Community,,5,"$8,625.00",, 8 Jun 2026,19.4,,$444.59,Open
Zcash Global en Español 2026,Zcash Español,Community,,6,"$12,925.00",, 6 Jul 2026,28.27,,$457.20,Open
Zcash Global en Español 2026,Zcash Español,Community,,7,"$8,925.00",, 6 Aug 2026,17.965,,$496.80,Open
Zcash Global en Español 2026,Zcash Español,Community,,8,"$8,625.00",, 3 Sep 2026,9.12,,$945.72,Open
Zcash Global en Español 2026,Zcash Español,Community,,9,"$9,525.00",  30 Sep 2026,,,,,Open
Zcash Global en Español 2026,Zcash Español,Community,,10,"$8,925.00",  31 Oct 2026,,,,,Open
Zcash Global en Español 2026,Zcash Español,Community,,11,"$8,925.00",  30 Nov 2026,,,,,Open
Zcash Global en Español 2026,Zcash Español,Community,,12,"$8,625.00",  31 Dec 2026,,,,,Open
Zcash Community Media Infrastructure & Support | Zk Av Club 2026,ZK AV Club,Community,Monthly,Start Up Funding,"$63,545.00",, 29 Jan 2026,179.35,,$354.31,Open
Zcash Community Media Infrastructure & Support | Zk Av Club 2026,ZK AV Club,Community,,1,"$10,833.30",, 29 Jan 2026,30.58,,$354.26,Open
Zcash Community Media Infrastructure & Support | Zk Av Club 2026,ZK AV Club,Community,,2,"$10,833.30",, 2 Mar 2026,48.84,,$221.81,Open
Zcash Community Media Infrastructure & Support | Zk Av Club 2026,ZK AV Club,Community,,3,"$12,534.88",, 31 Mar 2026,50.54,,$248.02,Open
Zcash Community Media Infrastructure & Support | Zk Av Club 2026,ZK AV Club,Community,,4,"$11,833.33",, 30 Apr 2026,33.75,,$350.62,Open
Zcash Community Media Infrastructure & Support | Zk Av Club 2026,ZK AV Club,Community,,5,"$13,763.98",, 28 May 2026,25.1,,$548.37,Open
Zcash Community Media Infrastructure & Support | Zk Av Club 2026,ZK AV Club,Community,,6,"$13,683.33",, 30 Jun 2026,34.36,,$398.23,Open
Zcash Community Media Infrastructure & Support | Zk Av Club 2026,ZK AV Club,Community,,7,"$13,683.33",, 3 Aug 2026,27.9,,$490.44,Open
Zcash Community Media Infrastructure & Support | Zk Av Club 2026,ZK AV Club,Community,,8,"$13,683.33",, 31 Aug 2026,16.31,,$838.95,Open
Zcash Community Media Infrastructure & Support | Zk Av Club 2026,ZK AV Club,Community,,9,"$16,037.81",  30 Sep 2026,,,,,Open
Zcash Community Media Infrastructure & Support | Zk Av Club 2026,ZK AV Club,Community,,10,"$16,037.81",  31 Oct 2026,,,,,Open
Zcash Community Media Infrastructure & Support | Zk Av Club 2026,ZK AV Club,Community,,11,"$16,037.81",  30 Nov 2026,,,,,Open
Zcash Community Media Infrastructure & Support | Zk Av Club 2026,ZK AV Club,Community,,12,"$16,037.81",  31 Dec 2026,,,,,Open
Zcash Türkiye 2026 Q1-2,Batuhan,Community,Monthly,Startup Funding,"$4,400.00",, 5 Jan 2026,8.94,,$492.17,Completed
Zcash Türkiye 2026 Q1-2,Batuhan,Community,,1,"$4,400.00",, 19 Jan 2026,11.71,,$375.75,Completed
Zcash Türkiye 2026 Q1-2,Batuhan,Community,,2,"$4,400.00",, 19 Feb 2026,16.79,,$262.06,Completed
Zcash Türkiye 2026 Q1-2,Batuhan,Community,,3,"$4,400.00",, 19 Mar 2026,18.54,,$237.32,Completed
Zcash Türkiye 2026 Q1-2,Batuhan,Community,,4,"$4,400.00",, 21 Apr 2026,14.25,,$308.77,Completed
Zcash Türkiye 2026 Q1-2,Batuhan,Community,,5,"$4,400.00",, 19 May 2026,7.7,,$571.43,Completed
Zcash Türkiye 2026 Q1-2,Batuhan,Community,,6,$0.00,, 19 Jun 2026,0,,,Completed
Grassroots Marketing at ETHDenver 2026,readymouse,Event Sponsorship,Milestone,Startup Funding,"$9,000.00",, 26 Jan 2026,25.1,,$358.57,Completed
Zcash Türkiye – Sustainability and the ZBase Vision,Batuhan,Media,Milestone,Startup Funding,"$21,000.00",, 6 Feb 2026,86.44,,$242.94,Completed
Zcash Türkiye – Sustainability and the ZBase Vision,Batuhan,Media,,1,"$10,000.00",, 10 Mar 2026,45.19,,$221.29,Completed
ZcashArabia Q1 2026,ZcashArabia,Education,Monthly,1,"$2,500.00",, 2 Mar 2026,11.23,,$222.62,Completed
ZcashArabia Q1 2026,ZcashArabia,Education,,2,"$2,500.00",, 31 Mar 2026,10.08,,$248.02,Completed
ZcashArabia Q1 2026,ZcashArabia,Education,,3,"$2,500.00",, 28 Apr 2026,7.46,,$335.12,Completed
CipherScan,CipherScan,Infrastructure,Monthly,Startup Funding,"$14,700.00",, 17 Feb 2026,51.53,,$285.27,Open
CipherScan,CipherScan,Infrastructure,,1,$0.00,, 4 Mar 2026,0,,,Open
CipherScan,CipherScan,Infrastructure,,2,"$14,700.00",, 31 Mar 2026,59.27,,$248.02,Open
CipherScan,CipherScan,Infrastructure,,3,"$14,700.00",, 11 Jun 2026,35,,$420.00,Open
CipherScan,CipherScan,Infrastructure,,3.5,"$14,700.00",, 23 Jul 2026,28.73,,$511.66,Open
CipherScan,CipherScan,Infrastructure,,4,"$14,700.00",  31 Dec 2026,,,,,Open
Zingo Labs Hackfest,Zingo Labs,Event Sponsorship,Milestone,Startup Funding,"$25,500.23",, 17 Feb 2026,89.39,,$285.27,Completed
"Marketing at ETHCC + Exxxotica, Chicago",readymouse,Community,Milestone,Startup Funding,"$18,510.00",, 18 Mar 2026,72.4,,$255.66,Completed
OneKey Zcash Hardware Support with Unified Wallet Architecture (Transparent + Shielded),OneKey,Infrastructure,Monthly,Startup Funding,"$10,000.00",, 28 May 2026,18.67,,$535.62,Open
OneKey Zcash Hardware Support with Unified Wallet Architecture (Transparent + Shielded),OneKey,Infrastructure,,1,"$25,000.00",  30 Jul 2026,,,,,Open
OneKey Zcash Hardware Support with Unified Wallet Architecture (Transparent + Shielded),OneKey,Infrastructure,,2,"$10,000.00",  30 Sep 2026,,,,,Open
OneKey Zcash Hardware Support with Unified Wallet Architecture (Transparent + Shielded),OneKey,Infrastructure,,3,$0.00,  31 Dec 2026,,,,,Open
Zebra Coverage-Guided Fuzzing Infrastructure,robustfengbin,Research & Development,Monthly,Startup Funding,"$3,000.00",, 30 Mar 2026,13.47,,$222.72,Open
Zebra Coverage-Guided Fuzzing Infrastructure,robustfengbin,Research & Development,,1,"$9,000.00",, 1 Jun 2026,16.74,,$537.63,Open
Zebra Coverage-Guided Fuzzing Infrastructure,robustfengbin,Research & Development,,2,"$9,000.00",, 19 Jun 2026,19.94,,$451.35,Open
Zebra Coverage-Guided Fuzzing Infrastructure,robustfengbin,Research & Development,,3,"$9,000.00",  30 Sep 2026,,,,,Open
Rhea Zcash Gateway,Rhea Finance,Wallets,Monthly,Startup Funding,"$10,000.00",, 7 Apr 2026,37.16,,$269.11,Completed
Rhea Zcash Gateway,Rhea Finance,Wallets,,1,"$15,000.00",, 27 Apr 2026,42.65,,$351.70,Completed
Rhea Zcash Gateway,Rhea Finance,Wallets,,2,"$12,500.00",, 19 May 2026,21.88,,$571.30,Completed
Rhea Zcash Gateway,Rhea Finance,Wallets,,3,"$10,500.00",, 28 May 2026,19.6,,$535.71,Completed
Rhea Zcash Gateway,Rhea Finance,Wallets,,4,"$6,200.00",, 22 Jun 2026,13.78,,$449.93,Completed
Zcash Ecosystem Onboarding At Women in DeFi Summit 2026,Zcash Ecosystem Onboarding,Community,Milestone,Startup Funding,"$4,960.00",, 3 Apr 2026,21.16,,$234.40,Completed
Zcash Ghana (April 2026 - June 2026),ZcashGH,Community,Monthly,1,"$4,200.00",, 1 May 2026,10.98,,$382.51,Completed
Zcash Ghana (April 2026 - June 2026),ZcashGH,Community,,2,"$4,200.00",, 28 May 2026,7.84,,$535.71,Completed
Zcash Ghana (April 2026 - June 2026),ZcashGH,Community,,3,"$4,200.00",, 15 Jun 2026,7.98,,$526.32,Completed
Marketing at Berlin Blockchain Week & 2-Day Event with WebZero,readymouse,Event Sponsorship,Milestone,Startup Funding,"$63,820.00",, 13 Apr 2026,181,,$352.60,Completed
Mastering Zcash Video Series,maxdesalle,Education,Monthly,1,$0.00,,,,,,Cancelled
Mastering Zcash Video Series,maxdesalle,Education,,2,$0.00,,,,,,Cancelled
Mastering Zcash Video Series,maxdesalle,Education,,3,$0.00,,,,,,Cancelled
Zcash Integration for the Open Wallet Standard (OWS),Atmosphere Labs,Integration,Monthly,Startup Funding,"$5,000.00",, 13 Apr 2026,14.18,,$352.61,Completed
Zcash Integration for the Open Wallet Standard (OWS),Atmosphere Labs,Integration,,1,"$20,000.00",, 24 Apr 2026,57.12,,$350.14,Completed
Zcash Network School,Weever / Zcash.me,Community,Monthly,Startup Funding,"$5,440.00",, 30 Apr 2026,16.16,,$336.63,Completed
Zcash Network School,Weever / Zcash.me,Community,,1,"$2,720.00",, 1 Jun 2026,4.9,,$555.10,Completed
Zcash Network School,Weever / Zcash.me,Community,,2,"$2,720.00",, 6 Jul 2026,5.95,,$457.14,Completed
Zcash Network School,Weever / Zcash.me,Community,,3,"$1,498.75",, 7 Aug 2026,2.94,,$509.78,Completed
Zcash Marketing at Istanbul Blockchain Week & Community Activation,Batuhan,Event Sponsorship,Milestone,Startup Funding,"$15,900.00",, 21 Apr 2026,51.49,,$308.80,Completed
Zcash CIS Media & Community Growth Program 2026,PRO BLOCKCHAIN,Media,Monthly,1,"$3,000.00",, 1 Jun 2026,5.54,,$541.52,Completed
Grassroots Marketing Team at DWeb Camp,readymouse,Event Sponsorship,Milestone,Startup Funding,"$10,200.00",, 4 May 2026,24.28,,$420.10,Completed
BTCPayServer Multi-Account and 0conf Mempool Support,1337bytes,Non-Wallet Applications,Monthly,1,"$16,800.00",, 5 May 2026,39,,$430.77,Completed
BTCPayServer Multi-Account and 0conf Mempool Support,1337bytes,Non-Wallet Applications,,2,"$8,400.00",, 17 Aug 2016,16.39,,$512.51,Completed
Hito,Hito Inc,Wallets,Monthly,Startup Funding,"$10,000.00",, 12 May 2026,18.27,,$547.35,Completed
Hito,Hito Inc,Wallets,,1,"$10,000.00",, 29 Jun 2026,25.64,,$390.02,Completed
Hito,Hito Inc,Wallets,,2,"$15,000.00",, 3 Aug 2026,30.74,,$487.96,Completed
Hito,Hito Inc,Wallets,,3,"$15,000.00",, 2 Sep 2026,18.43,,$813.89,Completed
Using Zcash in an internet freedom crowdfunding campaign,Tor,Community,Milestone,Startup Funding,"$50,000.00",, 19 May 2026,87.52,,$571.30,Completed
Cypherpunk Policy Dinner (“CPD”) ZCG Anchor Sponsorship,"PGP for Crypto, LLC",Event Sponsorship,Milestone,Startup Funding,"$25,000.00",, 25 May 2026,38.53,,$648.85,Completed
Zcash Arabia (May to September 2026),ZcashArabia,Education,Monthly,1,"$4,000.00",, 27 May 2026,7.25,,$551.72,Completed
Zcash Name Service,"ZcashMe, Inc",Infrastructure,Monthly,Startup Funding,"$48,000.00",  12 Jun 2026,,,,,Open
Zcash Name Service,"ZcashMe, Inc",Infrastructure,,1,"$1,000.00",  25 May 2026,,,,,Open
Zcash Name Service,"ZcashMe, Inc",Infrastructure,,2,"$8,000.00",  1 Jun 2026,,,,,Open
Zcash Name Service,"ZcashMe, Inc",Infrastructure,,3,"$14,200.00",  8 Jun 2026,,,,,Open
Zcash Name Service,"ZcashMe, Inc",Infrastructure,,4,"$5,000.00",  15 Jun 2026,,,,,Open
Zcash Name Service,"ZcashMe, Inc",Infrastructure,,5,"$6,000.00",  22 Jun 2026,,,,,Open
Zcash Name Service,"ZcashMe, Inc",Infrastructure,,6,"$4,000.00",  29 Jun 2026,,,,,Open
Zcash Name Service,"ZcashMe, Inc",Infrastructure,,7,"$4,000.00",  6 Jul 2026,,,,,Open
Zcash Name Service,"ZcashMe, Inc",Infrastructure,,8,"$2,000.00",  13 Jul 2026,,,,,Open
Feature Branch Testnet and Compatible Developer Tooling,QEDIT,Infrastructure,Monthly,Startup Funding,"$227,500.00",, 22 Jun 2026,505.4,,$450.14,Open
Feature Branch Testnet and Compatible Developer Tooling,QEDIT,Infrastructure,,1,"$62,500.00",  30 Jun 2026,,,,,Open
Feature Branch Testnet and Compatible Developer Tooling,QEDIT,Infrastructure,,2,"$41,250.00",  30 Sep 2026,,,,,Open
Feature Branch Testnet and Compatible Developer Tooling,QEDIT,Infrastructure,,3,"$41,250.00",  30 Sep 2026,,,,,Open
Feature Branch Testnet and Compatible Developer Tooling,QEDIT,Infrastructure,,4,"$28,750.00",  30 Nov 2026,,,,,Open
Feature Branch Testnet and Compatible Developer Tooling,QEDIT,Infrastructure,,5,"$28,750.00",  30 Nov 2026,,,,,Open
Feature Branch Testnet and Compatible Developer Tooling,QEDIT,Infrastructure,,6,"$5,000.00",2 months after merge,,,,,Open
Feature Branch Testnet and Compatible Developer Tooling,QEDIT,Infrastructure,,7,"$7,500.00",2 months after merge,,,,,Open
Feature Branch Testnet and Compatible Developer Tooling,QEDIT,Infrastructure,,8,"$6,500.00",4 months after merge,,,,,Open
Feature Branch Testnet and Compatible Developer Tooling,QEDIT,Infrastructure,,9,"$6,000.00",6 months after merge,,,,,Open
Zcash Ghana (July 2026 - September 2026),ZcashGH,Community,Monthly,1,"$4,200.00",, 20 Jul 2026,7.6,,$552.63,Completed
Zcash Ghana (July 2026 - September 2026),ZcashGH,Community,,2,"$4,200.00",, 17 Aug 2026,8.2,,$512.20,Completed
Zcash Ghana (July 2026 - September 2026),ZcashGH,Community,,3,"$4,200.00",, 15 Sep 2026,3.8,,"$1,105.26",Completed
Zaino Release Stabilization ,Zingo Labs,Infrastructure,Monthly,Startup Funding,"$50,000.00",, 24 Jun 2026,124.01,,$403.19,Completed
Zaino Release Stabilization ,Zingo Labs,Infrastructure,,1,"$50,000.00",, 6 Jul 2026,109.38,,$457.12,Completed
Zaino Release Stabilization ,Zingo Labs,Infrastructure,,2,"$50,000.00",, 25 Aug 2026,62.11,,$805.02,Completed
Zaino Release Stabilization ,Zingo Labs,Infrastructure,,3,"$50,000.00",, 10 Sep 2026,44.03,,"$1,135.59",Completed
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,Monthly,Startup Funding,"$4,400.00",, 26 Jun 2026,10.67,,$412.37,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,1,"$4,400.00",, 20 Jul 2026,7.97,,$552.07,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,2,"$4,400.00",, 19 Aug 2026,8.54,,$515.22,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,3,"$4,400.00",  19 Sep 2026,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,4,"$4,400.00",  19 Oct 2026,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,5,"$4,400.00",  19 Nov 2026,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,6,$0.00,  19 Dec 2026,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,7,$0.00,  19 Jan 2027,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,8,$0.00,  19 Feb 2027,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,9,$0.00,  19 Mar 2027,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,10,$0.00,  19 Apr 2027,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,11,$0.00,  19 May 2027,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,12,$0.00,  19 Jun 2027,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,13,$0.00,  19 Jul 2027,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,14,$0.00,  19 Aug 2027,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,15,$0.00,  19 Sep 2027,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,16,$0.00,  19 Oct 2027,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,17,$0.00,  19 Nov 2027,,,,,Open
Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 ,Batuhan,Community,,18,$0.00,  19 Dec 2027,,,,,Open
Batch-vs-Single Verification Equivalence: Continuous Soundness Fuzzing for Zcash Shielded Verification (incl. Ironwood) ,robustfengbin,Research & Development,Monthly,Startup Funding,"$3,000.00",, 9 Jul 2026,6.4,,$468.75,Open
Batch-vs-Single Verification Equivalence: Continuous Soundness Fuzzing for Zcash Shielded Verification (incl. Ironwood) ,robustfengbin,Research & Development,,1,"$15,000.00",, 27 Jul 2026,30.7,,$488.60,Open
Batch-vs-Single Verification Equivalence: Continuous Soundness Fuzzing for Zcash Shielded Verification (incl. Ironwood) ,robustfengbin,Research & Development,,2,"$15,000.00",, 27 Aug 2026,18.71,,$801.71,Open
Batch-vs-Single Verification Equivalence: Continuous Soundness Fuzzing for Zcash Shielded Verification (incl. Ironwood) ,robustfengbin,Research & Development,,3,"$12,000.00",  29 Sep 2026,,,,,Open
"zaino - Stability, Performance & Testing",Hanh,Infrastructure,Monthly,1,"$50,000.00",, 27 Aug 2026,62.37,,$801.67,Completed
Zcash in the privacy stack,Proof Street,Education,Monthly,1,"$2,500.00",, 17 Aug 2026,4.88,,$512.30,Completed
Zcash in the privacy stack,Proof Street,Education,,2,"$2,500.00",, 7 Sep 2026,2.17,,"$1,152.07",Completed
ZECsy Team in Amsterdam ,readymouse,Community,Milestone,Startup Funding,"$30,000.00",, 22 Jul 2026,58.53,,$512.56,Completed
Zcash Turkiye RLAY HUB Event,Batuhan,Event Sponsorship,Milestone,Startup Funding,"$6,870.00",, 21 Jul 2026,12.51,,$549.16,Completed
Zcash Onboarding @ Web3Lagos Conference 2026 ,Zcash Onboarding,Event Sponsorship,Milestone,Startup Funding,"$8,240.00",, 23 Jul 2026,16.35,,$503.98,Completed
Offensive Security,TechSlayers,Infrastructure,Monthly,1,"$30,000.00",, 28 Aug 2026,37.65,,$796.81,Open
Offensive Security,TechSlayers,Infrastructure,,2,"$29,000.00",  30 Nov 2026,,,,,Open
Offensive Security,TechSlayers,Infrastructure,,3,"$29,000.00",  31 Jan 2027,,,,,Open
ELLIPAL Zcash Ironwood Shielded Transaction Support,ELLIPAL,Wallets,Monthly,Startup Funding,"$10,000.00",, 20 Aug 2026,17.46,,,Open
ELLIPAL Zcash Ironwood Shielded Transaction Support,ELLIPAL,Wallets,,1,"$55,000.00",  31 Oct 2026,,,,,Open
ELLIPAL Zcash Ironwood Shielded Transaction Support,ELLIPAL,Wallets,,2,"$20,000.00",  30 Dec 2026,,,,,Open
ELLIPAL Zcash Ironwood Shielded Transaction Support,ELLIPAL,Wallets,,3,"$10,000.00",  28 Feb 2027,,,,,Open
ELLIPAL Zcash Ironwood Shielded Transaction Support,ELLIPAL,Wallets,,4,$0.00,  31 Mar 2027,,,,,Open
Constant-Time Hardening and Explicit Timing Semantics for Zcash Rust Cryptography,Eryx,Infrastructure,Monthly,1,"$5,000.00",  14 Aug 2026,,,,,Open
Constant-Time Hardening and Explicit Timing Semantics for Zcash Rust Cryptography,Eryx,Infrastructure,,2,"$5,000.00",  1 Sep 2026,,,,,Open
Zcash WalletConnect Integration,Noir Wallet,Infrastructure,Monthly,Startup Funding,"$5,000.00",, 2 Sep 2026,6.14,,$814.33,Open
Zcash WalletConnect Integration,Noir Wallet,Infrastructure,,1,"$5,500.00",  31 Aug 2026,,,,,Open
Zcash WalletConnect Integration,Noir Wallet,Infrastructure,,2,"$7,000.00",  15 Sep 2026,,,,,Open
Zcash WalletConnect Integration,Noir Wallet,Infrastructure,,3,"$9,000.00",  30 Sep 2026,,,,,Open
Zcash WalletConnect Integration,Noir Wallet,Infrastructure,,4,"$5,000.00",  15 Oct 2026,,,,,Open
Zcash WalletConnect Integration,Noir Wallet,Infrastructure,,5,"$8,000.00",  30 Oct 2026,,,,,Open
Zcash WalletConnect Integration,Noir Wallet,Infrastructure,,6,"$5,500.00",  15 Nov 2027,,,,,Open
Zcash WalletConnect Integration,Noir Wallet,Infrastructure,,7,"$5,000.00",  30 Nov 2027,,,,,Open
BTCPayServer Multi-Store GraphQL Client,1337bytes,Non-Wallet Applications,Monthly,1,"$8,400.00",  28 Sep 2026,,,,,Open
BTCPayServer Multi-Store GraphQL Client,1337bytes,Non-Wallet Applications,,2,"$8,400.00",  28 Oct 2026,,,,,Open
Pretty Good Policy for Zcash ,Pretty Good Policy for Zcash,Dedicated Resource,Monthly,Startup Funding,"$248,750.00",, 17 Sep 2026,169.65,,"$1,466.25",Open
Pretty Good Policy for Zcash ,Pretty Good Policy for Zcash,Dedicated Resource,,1,"$158,750.00",  30 Nov 2026,,,,,Open
Pretty Good Policy for Zcash ,Pretty Good Policy for Zcash,Dedicated Resource,,2,"$173,750.00",  28 Feb 2027,,,,,Open
Pretty Good Policy for Zcash ,Pretty Good Policy for Zcash,Dedicated Resource,,3,"$128,750.00",  31 May 2027,,,,,Open
Pretty Good Policy for Zcash ,Pretty Good Policy for Zcash,Dedicated Resource,,4,"$40,000.00",  31 Aug 2027,,,,,Open
"Zcash Hack-to-Dark At Devcon 8, Mumbai",WebZero,Event Sponsorship,Milestone,Startup Funding,"$43,524.00",  31 Aug 2026,,,,,Open
Zcash Arabia (August to December 2026),ZcashArabia,Education,Monthly,Startup Funding,"$7,000.00",, 31 Aug 2026,8.19,,$854.70,Open
Zcash Arabia (August to December 2026),ZcashArabia,Education,,1,"$4,000.00",, 3 Sep 2026,4.23,,$945.63,Open
Zcash Arabia (August to December 2026),ZcashArabia,Education,,2,"$4,000.00",  28 Oct 2026,,,,,Open
Zcash Arabia (August to December 2026),ZcashArabia,Education,,3,"$4,000.00",  28 Nov 2026,,,,,Open
Zcash Arabia (August to December 2026),ZcashArabia,Education,,4,"$4,000.00",  28 Dec 2026,,,,,Open
Zcash Arabia (August to December 2026),ZcashArabia,Education,,5,"$4,000.00",  28 Dec 2026,,,,,Open
"ZECsy Community Building: 12 Months of Zcash on the Ground [Revised]
 ",readymouse,Community,Monthly,Startup Funding,"$45,833.00",, 1 Sep 2026,55.4,,$827.31,Open
"ZECsy Community Building: 12 Months of Zcash on the Ground [Revised]
 ",readymouse,Community,,1,"$45,833.00",  30 Sep 2026,,,,,Open
"ZECsy Community Building: 12 Months of Zcash on the Ground [Revised]
 ",readymouse,Community,,2,"$45,833.00",  31 Oct 2026,,,,,Open
"ZECsy Community Building: 12 Months of Zcash on the Ground [Revised]
 ",readymouse,Community,,3,"$45,833.00",  30 Nov 2026,,,,,Open
"ZECsy Community Building: 12 Months of Zcash on the Ground [Revised]
 ",readymouse,Community,,4,"$45,833.00",  31 Dec 2026,,,,,Open
"ZECsy Community Building: 12 Months of Zcash on the Ground [Revised]
 ",readymouse,Community,,5,"$45,833.00",  31 Jan 2027,,,,,Open
"ZECsy Community Building: 12 Months of Zcash on the Ground [Revised]
 ",readymouse,Community,,6,"$45,833.00",  28 Feb 2027,,,,,Open
"ZECsy Community Building: 12 Months of Zcash on the Ground [Revised]
 ",readymouse,Community,,7,"$45,833.00",  31 Mar 2027,,,,,Open
"ZECsy Community Building: 12 Months of Zcash on the Ground [Revised]
 ",readymouse,Community,,8,"$45,833.00",  30 Apr 2027,,,,,Open
"ZECsy Community Building: 12 Months of Zcash on the Ground [Revised]
 ",readymouse,Community,,9,"$49,000.00",  31 May 2027,,,,,Open
"Zcash World, Mumbai (Devcon 8 week)",Zcash India,Community,Milestone,Startup Funding,"$8,000.00",  30 Sep 2026,,,,,Open
"Zcash World, Mumbai (Devcon 8 week)",Zcash India,Community,,1,"$8,800.00",  15 Nov 2026,,,,,Open
"Zcash World, Mumbai (Devcon 8 week)",Zcash India,Community,,2,"$3,500.00",  30 Nov 2026,,,,,Open
24 Videos @zkMarketer,Connaugh,Education,Monthly,1,"$20,000.00",  12 Oct 2026,,,,,Open
24 Videos @zkMarketer,Connaugh,Education,,2,"$20,000.00",  9 Nov 2026,,,,,Open
24 Videos @zkMarketer,Connaugh,Education,,3,"$20,000.00",  7 Dec 2026,,,,,Open
Colosseum | Crypto World's Fair | Zcash Track,Colosseum,Event Sponsorship,Milestone,1,"$150,000.00",  13 Oct 2026,,,,,Open
